Institution,Rank_earned_doct,Percentile_earned_doct,Rank_full_time_grad,Percentile_full_time_grad,Rank_tot_rd,Percentile_tot_rd,Rank_research_space,Percentile_research_space
A.T. Still U.,0,0.0,305,44.6,779,85.8,0,0.0
Abilene Christian U.,0,0.0,396,57.7,425,47.2,545,93.5
Adelphi U.,279,62.6,255,37.4,531,58.8,0,0.0
Agnes Scott C.,0,0.0,0,0.0,823,90.6,0,0.0
Air Force Institute of Technology,262,58.8,218,32.1,214,24.2,0,0.0
Alabama A&M U.,396,88.5,323,47.2,349,38.9,320,55.3
"Alabama C., Osteopathic Medicine",0,0.0,0,0.0,896,98.6,0,0.0
Alabama State U.,320,71.7,637,92.3,499,55.3,177,30.9
Alaska Pacific U.,0,0.0,648,93.8,633,69.9,564,96.8
Albany C. Pharmacy and Health Sciences,0,0.0,661,95.7,459,50.9,522,89.6
Albany Medical C.,334,74.8,529,76.8,271,30.4,272,47.1
Albany State U.,0,0.0,0,0.0,666,73.5,0,0.0
Albert Einstein College of Medicine,267,59.9,280,41.0,89,10.6,128,22.6
Albion C.,0,0.0,0,0.0,623,68.8,0,0.0
Albizu U.,0,0.0,151,22.5,788,86.8,583,100.0
Alcorn State U.,0,0.0,547,79.3,318,35.6,385,66.3
Alderson-Broaddus U.,0,0.0,683,98.9,0,0.0,0,0.0
Alfred U.,430,96.0,612,88.7,496,55.0,492,84.5
"Alliant International U., San Diego",190,42.9,0,0.0,0,0.0,0,0.0
Alverno C.,0,0.0,0,0.0,880,96.8,0,0.0
American International C.,0,0.0,433,63.0,0,0.0,0,0.0
American Museum of Natural History,0,0.0,594,86.1,0,0.0,0,0.0
American Samoa Community C.,0,0.0,0,0.0,684,75.5,563,96.6
American U.,237,53.3,125,18.8,182,20.7,374,64.5
Amherst C.,0,0.0,0,0.0,423,47.0,369,63.6
Andrews U.,271,60.8,372,54.2,687,75.8,0,0.0
Angelo State U.,0,0.0,379,55.2,653,72.1,0,0.0
Antioch U.,0,0.0,161,24.0,0,0.0,0,0.0
"Antioch U., Keene",343,76.7,0,0.0,0,0.0,0,0.0
Appalachian State U.,0,0.0,285,41.8,429,47.7,499,85.7
Arcadia U.,0,0.0,491,71.3,664,73.3,0,0.0
Arizona State U.,20,5.2,8,2.0,42,5.5,49,9.2
Arkansas C. of Health Education,0,0.0,0,0.0,711,78.4,0,0.0
Arkansas State U.,0,0.0,349,50.9,0,0.0,0,0.0
"Arkansas State U., Jonesboro",405,90.5,0,0.0,358,39.9,322,55.6
Arkansas Tech U.,0,0.0,590,85.5,696,76.8,0,0.0
Asbury Theological Seminary,343,76.7,0,0.0,0,0.0,0,0.0
Auburn U.,0,0.0,86,13.2,0,0.0,0,0.0
"Auburn U., Auburn",68,15.8,0,0.0,100,11.8,154,27.0
"Auburn U., Montgomery",0,0.0,0,0.0,783,86.3,0,0.0
Augsburg U.,0,0.0,0,0.0,684,75.5,0,0.0
Augusta U.,0,0.0,351,51.2,157,18.0,188,32.8
Augustana C.,0,0.0,0,0.0,856,94.2,0,0.0
Augustana U.,0,0.0,0,0.0,640,70.7,554,95.1
Aurora U.,0,0.0,637,92.3,0,0.0,0,0.0
Austin C.,0,0.0,0,0.0,841,92.6,0,0.0
Austin Peay State U.,0,0.0,488,70.9,493,54.6,557,95.6
Avila U.,0,0.0,411,59.8,0,0.0,0,0.0
Azusa Pacific U.,330,73.9,228,33.6,407,45.3,476,81.8
Babson C.,0,0.0,0,0.0,603,66.6,0,0.0
Baldwin-Wallace U.,0,0.0,0,0.0,885,97.4,0,0.0
Ball State U.,262,58.8,254,37.3,353,39.4,266,46.1
Bard C.,372,83.2,587,85.1,866,95.3,0,0.0
Barnard C.,0,0.0,0,0.0,424,47.1,527,90.5
Barry U.,334,74.8,257,37.7,831,91.5,0,0.0
Bates C.,0,0.0,0,0.0,500,55.4,470,80.8
Baylor C. Medicine,171,38.7,206,30.4,38,5.0,70,12.7
Baylor U.,146,33.1,126,18.9,207,23.5,193,33.7
Bemidji State U.,0,0.0,665,96.3,0,0.0,0,0.0
Benedict C.,0,0.0,0,0.0,697,76.9,0,0.0
Benedictine U.,304,68.1,449,65.3,0,0.0,0,0.0
Bentley U.,430,96.0,0,0.0,589,65.1,0,0.0
